"author_id","total_ratings","total_reviews","avg_ratings"
"32777380","26","2","(3.65"
"3412780","937","73","(3.77"
"13529141","264","17","(3.90"
"19092786","38","2","(3.92"
"927996","				508","				218"," 3.75"
"6223350","24","4","(4.42"
"2148594","125","18","(4.42"
"12452683","294","        90","4.33"
"1552296","				292","				131"," 3.52"
"4851305","				281","				132"," 3.57"
"24680352","21","        14","4.71"
"9471861","83","        42","4.39"
"9957840","124","14","(3.89"
"1234686","				1197","				303"," 3.05"
"596230","				52","				8"," 3.63"
"175272","1188","703","(3.34"
"7933543","1718","855","(3.09"
"6215597","1076","19","(4.08"
"10413892","44","10","(4.82"
"23580349","160","29","(4.11"
"2555332","14","5","(3.64"
"11698581","75","57","(3.56"
"4788420","607","54","(3.95"
"18743","102","85","(4.01"
"921651","325","        161","3.41"
"6332188","				742","				116"," 3.48"
"61052347","59","5","(4.07"
"1577396","815","29","(3.55"
"59708322","				208","				63"," 3.80"
"5843291","406","311","(3.67"
"39798776","383","265","(4.55"
"8361714","259","37","(4.47"
"2519179","895","486","(3.64"
"5092701","47","        15","3.09"
"16580275","119","30","(3.98"
"10877930","				419","				118"," 4.68"
"17074498","2367","1790","(4.01"
"5989404","158","130","(3.49"
"4030443","180","124","(3.52"
"9013860","				523","				130"," 3.55"
"20210085","38","27","(4.29"
"3976165","479","52","(3.59"
"4820747","1158","254","(3.39"
"10207980","495","57","(4.52"
"1172836","951","293","(3.79"
"10090058","209","25","(2.93"
"2294281","998","250","(3.18"
"1431663","532","293","(3.87"
"8590364","				30","				29"," 3.70"
"2129324","				750","				378"," 3.80"
"4816018","25","21","(3.68"
"7909975","				479","				156"," 3.58"
"962377","				637","				451"," 3.68"
"296892","175","117","(3.19"
"5887250","236","213","(3.57"
"16136533","539","54","(4.63"
"3548606","678","89","(4.11"
"15719847","153","13","(4.54"
"16392698","1029","92","(3.91"
"4759745","104","89","(4.13"
"3204307","				769","				185"," 3.78"
"10744860","39","14","(3.64"
"19873561","424","58","(4.08"
"3545653","				361","				249"," 3.22"
"15532678","157","2","(3.60"
"2652919","950","494","(3.77"
"694039","55","6","(3.82"
"7127527","377","81","(3.75"
"1163842","435","257","(4.49"
"230933","				314","				246"," 3.18"
"32094636","				373","				65"," 4.25"
"3566496","1056","861","(3.90"
"12050823","191","114","(3.87"
"7100824","				640","				91"," 3.15"
"298536","6","6","(4.50"
"1500323","55","59","(4.04"
"15655704","431","133","(3.87"
"10037905","				418","				317"," 3.81"
"537621","586","102","(3.47"
"7188486","				110","				14"," 3.75"
"12752632","876","92","(3.79"
"45128","2992","1129","(4.12"
"3461022","				813","				313"," 3.64"
"27110971","				342","				68"," 3.72"
"5132378","131","54","(3.79"
"16313074","3131","56","(3.86"
"1292836","				282","				51"," 4.04"
"258019","289","        20","4.48"
"1803737","				712","				92"," 3.40"
"18190663","63","4","(4.63"
"20904531","31","2","(4.84"
"5349678","5","3","(4.40"
"8750633","215","124","(3.79"
"26699800","55","18","(4.16"
"3971909","				629","				247"," 3.41"
"6068010","				916","				620"," 3.85"
"20767702","165","        142","3.88"
"1773467","50","23","(3.50"
"42066","633","209","(3.68"
"5937906","158","21","(4.01"
"5597352","963","410","(3.60"
"7547735","				1827","				181"," 3.64"
"3118017","1321","175","(3.67"
"5745900","452","238","(3.56"
"7314770","180","49","(3.74"
"80796","257","242","(3.83"
"1993308","737","45","(3.40"
"361853","				195","				98"," 3.32"
"2210008","				221","				77"," 4.11"
"1358264","346","81","(4.03"
"3478887","358","29","(4.23"
"311784","513","        98","3.21"
"11827171","				157","				92"," 4.11"
"1031234","				35","				13"," 3.34"
"31873625","152","33","(4.44"
"3567219","277","72","(3.60"
"4843550","174","35","(4.12"
"3501592","				345","				118"," 3.80"
"14552580","138","79","(4.32"
"4535962","135","19","(4.23"
"3163491","				55","				12"," 4.16"
"31799351","71","17","(3.35"
"5939334","17","7","(3.35"
"2746510","				124","				93"," 3.59"
"6292457","				970","				209"," 3.59"
"11746220","372","120","(4.36"
"2369319","589","109","(3.69"
"9028604","892","453","(3.15"
"24848019","236","94","(4.58"
"1883309","				212","				57"," 3.60"
"4640089","				621","				436"," 3.18"
"17872217","169","34","(3.80"
"1531799","298","24","(3.49"
"870459","1080","164","(3.75"
"4735238","				1296","				783"," 3.55"
"2033860","54","9","(4.09"
"963629","671","129","(3.54"
"891166","305","35","(3.60"
"891115","36","21","(3.67"
"20125362","100","        61","4.35"
"765391","157","60","(3.39"
"2121223","682","654","(3.20"
"7689252","81","39","(3.65"
"2117370","255","2","(4.33"
"417858","41","42","(4.39"
"11445656","155","9","(4.36"
"10310479","541","329","(2.91"
"31448186","69","41","(3.38"
"1030319","1522","119","(3.57"
"791211","41","10","(4.17"
"15214771","30","3","(4.23"
"19221649","79","13","(3.49"
"14762048","326","27","(4.40"
"7333721","348","158","(3.73"
"6421152","245","21","(4.11"
"1061543","120","26","(3.69"
"5772835","224","18","(3.94"
"792132","				560","				198"," 3.73"
"1333433","				168","				34"," 3.99"
"1551940","				348","				231"," 3.48"
"3180253","				175","				76"," 3.57"
"755141","78","17","(3.69"
"2124017","1109","265","(2.20"
"4129507","113","17","(3.94"
"16623850","709","265","(3.50"
"31711950","96","0","(4.15"
"1928078","411","67","(3.36"
"3443281","543","306","(3.63"
"5929578","186","68","(4.03"
"3023899","93","17","(3.35"
"6195137","9","9","(3.44"
"2548935","783","611","(3.50"
"5909239","598","197","(4.42"
"4356272","				835","				138"," 3.65"
"37415387","39","23","(4.08"
"33433330","31","0","(4.74"
"7321199","432","16","(3.97"
"4357695","109","19","(3.34"
"15262255","70","20","(4.46"
"16570145","3","2","(5.00"
"4304649","807","54","(3.60"
"2989588","791","190","(3.71"
"1227690","				937","				135"," 4.01"
"20814636","				167","				9"," 3.66"
"1616748","10","5","(5.00"
"38214234","458","7","(3.88"
"1626932","204","13","(3.72"
"4935061","				814","				183"," 3.45"
"121361","385","26","(3.62"
"959976","866","98","(4.11"
"4359736","588","113","(3.86"
"35119403","72","10","(4.00"
"312578","370","21","(3.65"
"2610419","953","927","(3.61"
"1680612","576","198","(3.36"
"6629197","				1974","				260"," 3.44"
"15726114","2333","442","(4.04"
"1275671","				56","				3"," 4.16"
"7955839","237","92","(3.67"
"61995797","107","7","(4.82"
"1926690","146","14","(4.51"
"3590265","754","146","(3.11"
"2435441","				66","				11"," 3.76"
"7286103","103","45","(3.43"
"2214540","				347","				63"," 3.45"
"1115897","				1180","				196"," 4.52"
"6231984","				40","				19"," 4.20"
"7427158","840","134","(3.91"
"691926","87","16","(4.51"
"5487436","				159","				30"," 3.38"
"134374","302","295","(4.04"
"15260738","123","2","(3.55"
"6040013","				90","				9"," 4.17"
"3742885","362","28","(3.72"
"12408382","223","29","(3.79"
"6188448","304","94","(3.62"
"36078860","204","14","(4.43"
"1859917","570","154","(3.67"
"2429935","426","190","(4.12"
"2565247","52","33","(4.29"
"10392176","25","10","(2.72"
"1185483","811","532","(4.17"
"1159690","				311","				305"," 3.55"
"2429900","				524","				447"," 4.17"
"1909610","				413","				112"," 3.41"
"1326467","322","127","(3.92"
"1010820","				494","				405"," 3.25"
"3136760","				192","				42"," 4.33"
"22284308","				545","				423"," 3.74"
"2130616","				2948","				847"," 4.27"
"4691323","25","22","(3.60"
"930545","1349","1011","(3.74"
"5832792","67","7","(4.84"
"29170290","25","5","(3.84"
"200819","1183","328","(3.82"
"19924977","				211","				119"," 3.28"
"7504128","489","        190","4.23"
"788969","				424","				213"," 3.54"
"34280406","129","122","(3.67"
