"author_id","total_ratings","total_reviews","avg_ratings"
"10345941","634","471","(3.89"
"9175510","436","32","(3.52"
"1906677","413","145","(3.92"
"9746976","				652","				532"," 3.72"
"58834876","				49","				43"," 4.16"
"29436198","201","43","(4.02"
"9552948","306","187","(4.06"
"3609906","80","7","(3.76"
"5555807","				780","				248"," 3.91"
"43325092","5","0","(4.20"
"22240262","81","15","(4.69"
"2057667","225","59","(3.89"
"54402633","52","50","(4.35"
"9471806","				635","				342"," 4.54"
"32162079","				469","				78"," 3.66"
"16184925","134","9","(4.10"
"5808469","49","10","(3.37"
"17363357","211","99","(3.93"
"6726745","222","67","(3.36"
"5864776","				413","				301"," 3.87"
"15838439","460","320","(3.66"
"2502020","275","152","(3.68"
"12521798","52","14","(4.19"
"41720728","19","2","(3.74"
"3256574","				402","				230"," 3.53"
"21159132","				953","				149"," 4.37"
"2867546","310","76","(3.68"
"6811364","95","54","(4.14"
"3244167","				195","				29"," 3.84"
"27165275","234","127","(4.00"
"2296848","368","25","(3.84"
"4921493","292","39","(3.68"
"4282000","				667","				6"," 4.33"
"27818104","43","9","(4.30"
"1337447","607","563","(3.35"
"10496759","237","27","(4.45"
"40726656","226","575","(3.06"
"8652802","1431","228","(3.79"
"11843195","99","6","(3.97"
"62381","129","2","(3.98"
"32211345","156","111","(3.79"
"3497553","				494","				255"," 2.82"
"6660934","241","235","(3.82"
"76164","1061","46","(3.65"
"344586","452","132","(3.59"
"306723","59","3","(3.97"
"2353427","				108","				4"," 3.86"
"4631139","602","393","(4.10"
"5960404","				634","				184"," 3.97"
"22831751","259","173","(3.67"
"27828691","1338","213","(3.24"
"4641965","				10","				9"," 3.90"
"4768979","270","165","(3.83"
"301267","607","227","(3.94"
"5871100","				86","				38"," 3.36"
"1778555","				40","				11"," 4.00"
"962077","				121","				3"," 3.81"
"1292478","22","6","(4.55"
"95655","712","58","(3.53"
"8488852","166","18","(4.13"
"968598","				79","				15"," 3.76"
"728863","98","29","(3.93"
"18660418","70","5","(4.36"
"2220247","				1378","				455"," 3.77"
"4039587","265","271","(4.53"
"1833659","				14","				10"," 3.57"
"1167177","				484","				378"," 3.74"
"1182456","449","85","(4.08"
"224722","379","147","(4.06"
"881107","430","98","(3.73"
"2079018","889","785","(3.63"
"751588","				161","				107"," 3.64"
"796996","139","41","(3.72"
"16085308","				170","				53"," 3.46"
"1373467","41","31","(3.83"
"15748658","87","12","(4.36"
"996889","47","14","(3.94"
"2367320","103","9","(4.05"
"5580704","				52","				40"," 3.79"
"1132906","				42","				29"," 3.88"
"1145302","260","24","(3.44"
"4287412","34","10","(4.18"
"1494902","				688","				159"," 3.82"
"7487735","24","0","(4.58"
"1375144","97","94","(3.43"
"210641","188","92","(3.78"
"241690","				162","				4"," 3.85"
