"author_id","total_ratings","total_reviews","avg_ratings"
"33902339","158","24","(4.19"
"24743121","95","54","(4.38"
"36913903","				405","				109"," 4.26"
"30890847","421","348","(3.38"
"23518998","35","        23","3.37"
"5172557","643","383","(3.85"
"5619709","566","317","(3.84"
"10389742","				754","				58"," 3.67"
"16042594","				220","				110"," 4.25"
"14880433","				245","				49"," 3.53"
"25103219","205","47","(4.53"
"15940818","684","394","(4.14"
"23030646","884","393","(4.54"
"45962520","137","33","(3.86"
"7073377","105","        33","4.13"
"16572823","1855","607","(3.66"
"10455645","544","197","(4.03"
"39562286","179","89","(4.46"
"4503974","72","        13","4.85"
"36309478","452","65","(3.99"
"9382284","				205","				142"," 3.86"
"11672704","2066","1903","(4.07"
"4946791","344","122","(3.81"
"42629350","107","24","(4.41"
"7660089","368","        296","4.07"
"4471941","285","18","(4.38"
"55222483","94","47","(3.93"
"4487236","542","265","(4.19"
"3239811","				212","				218"," 4.50"
"8468608","1342","599","(4.02"
"26464930","162","16","(3.27"
"8737427","				404","				130"," 3.63"
"18852762","763","386","(3.75"
"19885314","359","158","(3.63"
"3243151","2703","1161","(4.93"
"2941466","2490","1588","(3.19"
"39898601","879","49","(4.37"
"6650940","				1599","				680"," 3.61"
"3973089","138","        90","4.33"
"6947280","180","        11","3.74"
"5682120","				675","				300"," 4.10"
"3594840","1219","1033","(3.60"
"26488137","303","181","(3.71"
"10010878","1119","221","(3.76"
"35177350","133","17","(3.95"
"24845114","				149","				144"," 3.81"
"1073735","1243","477","(3.86"
"7253042","				520","				155"," 3.44"
"8894859","				157","				45"," 4.06"
"21038806","475","        374","3.80"
"51448286","212","28","(3.59"
"37284816","				79","				32"," 4.22"
"7481046","218","        206","4.79"
"3955153","				552","				277"," 3.95"
"9263791","				312","				127"," 4.12"
"34594078","236","108","(4.38"
"8510291","				239","				186"," 3.29"
"23439687","66","17","(3.76"
"1312450","1179","744","(3.59"
"16884018","				735","				660"," 4.26"
"4189131","444","364","(3.13"
"31890727","301","184","(4.41"
"51338828","				97","				48"," 4.35"
"10608891","				572","				197"," 3.78"
"51724004","327","220","(3.98"
"8167068","421","175","(4.12"
"3804149","449","440","(4.83"
"5744962","1062","502","(3.43"
"5569316","308","171","(4.40"
"7208929","632","556","(3.30"
"3762510","247","183","(4.04"
"6418652","				670","				344"," 3.75"
"31124830","				157","				82"," 3.96"
"17829198","446","183","(3.73"
"10970130","				342","				288"," 3.82"
"9551530","1501","1920","(4.27"
"923550","334","286","(4.24"
"40203179","				764","				302"," 4.50"
"20309001","216","223","(4.34"
"3086416","213","57","(4.16"
"21929120","				275","				2"," 3.63"
"533357","				75","				57"," 4.28"
"5248073","174","161","(4.47"
"40297566","1731","        26","4.45"
"5163166","251","51","(4.88"
"21933367","				472","				19"," 4.33"
"5633576","120","100","(3.65"
"6441069","3256","2921","(3.96"
"8466377","				455","				194"," 4.81"
"4195039","1225","750","(4.18"
"8470722","2283","2197","(4.09"
"25373360","1728","1708","(4.58"
