"author_id","total_ratings","total_reviews","avg_ratings"
"22633732","				66","				6"," 3.80"
"7487703","				463","				212"," 3.45"
"1108686","				135","				87"," 3.74"
"8880164","60","25","(3.67"
"20010645","348","16","(3.60"
"694247","633","208","(3.66"
"689723","1504","        1646","3.48"
"1996751","				1744","				517"," 3.57"
"8124954","				148","				61"," 4.43"
"1001746","				291","				285"," 3.38"
"52067552","169","136","(4.50"
"3692613","				381","				331"," 3.48"
"137272","556","384","(3.98"
"279142","1294","1078","(3.85"
"2006586","248","227","(3.63"
"3064130","				716","				45"," 3.36"
"1422218","247","15","(3.94"
"6024911","				290","				6"," 4.27"
"3998869","92","32","(3.87"
"1969378","354","101","(3.83"
"1435447","				542","				14"," 3.58"
"2397880","				48","				6"," 4.10"
"5867494","				690","				301"," 3.20"
"5550397","				574","				463"," 3.37"
"4045228","247","80","(3.37"
"922881","891","800","(3.57"
"10071709","102","8","(3.81"
"4644182","276","119","(4.17"
"1370352","				647","				393"," 3.22"
"5704362","88","11","(4.45"
"3791889","467","275","(3.18"
"22443519","				344","				61"," 4.34"
"27750167","80","44","(3.39"
"16295571","				66","				18"," 4.08"
"4130185","400","146","(3.67"
"1744565","				847","				839"," 3.47"
"4467812","86","16","(3.94"
"40454441","83","25","(3.72"
"7296853","134","6","(4.03"
"8339488","414","190","(3.46"
"9079231","160","10","(3.19"
"2422720","				106","				45"," 3.59"
"3047467","239","145","(3.93"
"20519611","100","92","(3.91"
"7149304","				530","				394"," 3.34"
"551506","259","123","(3.66"
"5547","562","135","(3.74"
"260091","68","22","(3.54"
"11579278","102","7","(3.64"
"16703335","				326","				54"," 3.88"
"17690836","597","99","(3.54"
"13323030","992","421","(3.64"
"12370007","216","66","(4.24"
"21585213","34","10","(3.88"
"20292986","25","10","(3.72"
"6237077","61","0","(3.85"
"193578","219","129","(3.91"
"4354832","756","705","(3.42"
"4875167","				415","				235"," 3.48"
"1426284","355","117","(3.90"
"1621735","291","60","(3.56"
"4611244","				444","				228"," 3.91"
"1816676","				222","				156"," 3.62"
"6725514","80","6","(4.19"
"434450","1397","958","(3.43"
"2887109","327","38","(4.21"
"30023519","				274","				28"," 4.00"
"38445899","				181","				4"," 3.40"
"3897586","139","17","(3.64"
"20634252","175","26","(3.84"
"9594906","232","121","(3.88"
"5271662","				260","				76"," 4.27"
"1040845","175","84","(3.67"
"6472696","				673","				358"," 4.02"
"1010450","1046","262","(3.51"
"722759","173","29","(3.93"
"4873133","128","51","(3.42"
"1619646","131","12","(3.21"
"43454540","97","21","(3.96"
"12972391","188","2","(3.99"
"6515422","263","139","(3.98"
"1768614","				384","				166"," 3.53"
"7515632","325","63","(3.44"
"2782999","513","142","(3.42"
"3772692","823","379","(3.48"
"3361762","466","93","(3.98"
"260544","1128","389","(3.01"
"897969","232","18","(3.67"
"328662","308","156","(3.61"
"881913","				294","				9"," 3.93"
